date, pm25, pm10, o3, no2, so2, co
2017/10/18, 213, , 69, 26, 18, 30
2017/10/19, 331, , 52, 20, 16, 16
2017/10/20, 329, , 13, 19, 15, 24
2017/10/21, 414, , 37, 18, 13, 35
2017/10/22, 245, , 42, 17, 19, 39
2017/10/23, 274, , 40, 20, 19, 18
2017/10/24, 260, , 40, 32, 17, 34
2017/10/25, 295, , 49, 26, 18, 23
2017/10/26, 352, , 28, 22, 6, 19
2017/10/27, 248, , 55, 20, 13, 14
2017/10/28, 303, , 52, 11, 8, 15
2017/10/29, 323, , 61, 34, 13, 22
2017/10/30, 312, , 21, 24, 21, 28
2017/10/31, 347, , 45, 17, 21, 37
2017/11/1, 259, , 27, 17, 7, 20
2017/11/2, 263, , 27, 13, 25, 40
2017/11/3, 248, , 32, 12, 14, 20
2017/11/4, 224, , 29, 12, 13, 24
2017/11/5, 221, , 28, 14, 14, 33
2017/11/6, 208, , 42, 23, 10, 45
2017/11/7, 415, , 50, 41, 15, 34
2017/11/8, 605, , 43, 31, 19, 45
2017/11/9, 436, , 37, 27, 20, 59
2017/11/10, 331, , 72, 26, 16, 43
2017/11/11, 300, , 83, 38, 12, 52
2017/11/12, 405, , 50, 27, 9, 39
2017/11/13, 306, , 34, 37, 5, 61
2017/11/14, 253, , 33, 25, 7, 34
2017/11/15, 210, , 24, 22, 19, 28
2017/11/16, 222, , 24, 21, 17, 26
2017/11/17, 230, , 15, 29, 10, 16
2017/11/18, 229, , 41, 23, 6, 11
2017/11/19, 261, , 50, 27, 9, 10
2017/11/20, 195, , 32, 27, 7, 23
2017/11/21, 191, , , , , 
2017/11/23, 225, , 40, 34, 8, 12
2017/11/24, 191, , 25, 42, 12, 16
2017/11/25, 249, , 44, 44, 15, 20
2017/11/26, 221, , 51, 41, 11, 15
2017/11/27, 206, , 44, 32, 15, 28
2017/11/28, 272, , 40, 31, 15, 33
2017/11/29, 410, , 20, 40, 18, 27
2017/11/30, 244, , 26, 34, 16, 26
2017/12/1, 209, , 25, 45, 19, 29
2017/12/2, 239, , 30, 48, 20, 30
2017/12/3, 263, , 42, 56, 18, 50
2017/12/4, 321, , 19, 52, 15, 22
2017/12/5, 267, , 45, 32, 9, 11
2017/12/6, 187, , 27, 28, 13, 8
2017/12/7, 170, , 51, 40, 9, 12
2017/12/8, 183, , 45, 45, 12, 16
2017/12/9, 206, , 33, 44, 12, 20
2017/12/10, 255, , 39, 36, 12, 21
2017/12/11, 243, , 37, 28, 3, 11
2017/12/12, 280, , 22, 27, 12, 26
2017/12/13, 170, , 34, 23, 6, 12
2017/12/14, 165, , 13, 14, 4, 10
2017/12/15, 170, , 5, , 1, 10
2017/12/16, 162, , , , , 
2017/12/19, 184, , 32, 46, 10, 21
2017/12/20, 237, , 21, 42, 9, 22
2017/12/21, 228, , 37, 38, 5, 24
2017/12/22, 209, , 43, 34, 5, 19
2017/12/23, 160, , 28, 37, 11, 21
2017/12/24, 199, , 40, 40, 9, 21
2017/12/25, 206, , 44, 38, 6, 14
2017/12/26, 190, , 36, 39, 6, 18
2017/12/27, 195, , 19, 47, 14, 26
2017/12/28, 246, , 32, 48, 9, 24
2017/12/29, 215, , 3, 52, 5, 35
2017/12/30, 259, , 1, 46, 7, 46
2017/12/31, 257, , 3, 53, 3, 20
2017/7/1, 109, , 10, 11, 8, 9
2017/7/2, 118, , 32, 31, 1, 6
2017/7/3, 292, , 21, 10, 1, 32
2017/7/4, 122, , 17, 7, 1, 14
2017/7/5, 122, , 22, 6, , 22
2017/7/6, 155, , 26, 7, 1, 16
2017/7/7, 114, , 34, 10, 1, 13
